ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
kendrick lamar - damn.,45,hip hop,45,1,1,2,3,7,18,2,3,1,1,6,35,2,NA,2,4,3,41,1,1,1,1,2,6,3,41,8.96,0.3446745562,11.40740741,26,21
sza - ctrl,63,alternative r&b,NA,20,27,25,7,NA,42,7,NA,2,3,4,28,1,NA,5,2,NA,NA,35,2,2,3,3,17,18,3,12.19,0.5804988662,26.14814815,21,13
lorde - melodrama,51,art pop,NA,2,4,NA,1,NA,28,1,18,3,44,NA,NA,10,NA,1,1,NA,NA,2,5,5,4,11,8,42,NA,10.56,0.5864197531,32.03703704,18,13
sampha - process,12,alternative r&b,12,NA,14,10,23,35,NA,35,NA,5,5,NA,NA,4,NA,NA,27,1,NA,6,15,4,24,16,NA,NA,28,15.53,0.9134948097,37.55555556,17,7
st. vincent - masseduction,62,art pop,NA,18,6,34,11,6,4,6,9,13,NA,40,NA,9,NA,14,6,NA,NA,13,22,NA,NA,37,NA,NA,34,16.59,0.9757785467,38.22222222,17,7
lcd soundsystem - american dream,37,dance punk,37,5,2,8,5,1,27,40,1,6,NA,10,NA,NA,44,9,NA,NA,NA,5,12,NA,25,NA,NA,NA,47,16.71,0.9826989619,38.2962963,17,10
kelela - take me apart,19,alternative r&b,19,NA,NA,NA,NA,NA,NA,11,NA,48,17,21,42,8,6,26,38,9,NA,8,4,NA,15,23,NA,NA,26,20.06,1.25390625,42.44444444,16,5
vince staples - big fish theory,71,hip hop,NA,28,NA,NA,15,NA,NA,4,NA,8,14,NA,12,25,30,18,10,NA,NA,21,7,17,30,17,NA,NA,NA,17.07,1.137777778,42.81481481,15,4
jlin - black origami,66,footwork,NA,23,NA,NA,NA,NA,NA,23,NA,33,NA,20,40,18,35,44,NA,35,4,10,10,16,6,NA,22,NA,11,21.88,1.3671875,43.51851852,16,4
perfume genius - no shape,151,art pop,NA,NA,NA,NA,24,29,25,17,NA,4,NA,12,NA,NA,NA,4,28,NA,NA,19,16,6,26,10,50,NA,NA,19.29,1.37755102,46.11111111,14,4
thundercat - drunk,9,neo-soul,9,NA,25,NA,50,21,12,33,42,9,30,14,NA,NA,NA,47,NA,NA,NA,37,24,35,12,49,NA,NA,NA,28.06,1.75390625,47.18518519,16,2
the war on drugs - a deeper understanding,100,heartland rock,NA,NA,23,23,39,49,NA,20,2,49,NA,NA,NA,NA,NA,6,3,NA,NA,20,11,20,5,30,NA,NA,NA,21.43,1.530612245,47.22222222,14,4
mount eerie - a crow looked at me,123,singer-songwriter,NA,NA,NA,9,NA,NA,NA,8,40,21,NA,NA,NA,23,NA,10,NA,21,NA,24,14,31,23,NA,1,NA,14,18.38,1.414201183,47.74074074,13,4
the national - sleep well beast,14,indie rock,14,11,10,NA,13,12,NA,36,7,NA,NA,NA,NA,NA,NA,32,13,47,NA,14,NA,24,37,NA,NA,NA,NA,20.77,1.597633136,48.88888889,13,2
fever ray - plunge,160,electropop,NA,NA,NA,NA,41,NA,NA,NA,NA,16,NA,3,17,34,3,12,NA,NA,NA,3,9,27,17,NA,NA,NA,16,16.5,1.375,49,12,4
jay-z - 4:44,58,hip hop,NA,12,46,NA,37,NA,NA,25,NA,NA,2,26,NA,24,NA,50,7,NA,NA,NA,13,11,33,NA,NA,NA,18,23.38,1.798816568,50.14814815,13,2
king krule - the ooz,124,art rock,NA,NA,NA,13,16,NA,NA,31,NA,25,NA,25,9,3,NA,NA,NA,NA,NA,27,3,NA,28,9,NA,NA,NA,17.18,1.561983471,51.44444444,11,4
big thief - capacity,4,indie rock,4,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,34,NA,NA,NA,9,NA,NA,43,23,3,2,34,27,10,NA,18.27,1.661157025,51.88888889,11,5
father john misty - pure comedy,23,singer-songwriter,23,19,7,3,4,48,NA,NA,13,50,NA,NA,NA,NA,NA,22,5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,19.18,1.743801653,52.25925926,11,4
"tyler, the creator - flower boy",112,experimental hip hop,NA,NA,40,NA,19,NA,NA,NA,NA,NA,6,23,NA,5,NA,NA,14,44,18,NA,8,NA,NA,27,NA,28,NA,21.09,1.917355372,53.03703704,11,3
slowdive - slowdive,127,dream pop,NA,NA,NA,16,NA,NA,22,5,11,NA,NA,13,NA,NA,NA,15,NA,NA,NA,12,30,NA,41,NA,25,NA,NA,19,1.9,54.25925926,10,1
kaitlyn aurelia smith - the kid,134,art pop,NA,NA,NA,30,48,NA,NA,NA,28,NA,NA,NA,43,NA,NA,NA,34,17,5,31,44,37,21,NA,NA,NA,20,29.83,2.486111111,54.92592593,12,1
migos - culture,56,hip hop,NA,9,NA,NA,NA,NA,NA,42,NA,NA,7,15,NA,13,NA,33,NA,NA,NA,NA,19,38,11,NA,NA,NA,23,21,2.1,55,10,2
julie byrne - not even happiness,132,folk,NA,NA,NA,27,NA,28,NA,37,14,NA,NA,NA,25,NA,NA,20,45,NA,NA,NA,37,NA,9,48,43,NA,NA,30.27,2.752066116,56.77777778,11,1
bjork - utopia,3,art pop,3,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,24,NA,NA,31,28,NA,50,NA,NA,20,NA,29,NA,21,NA,40,26.1,2.61,56.88888889,10,1
courtney barnett & kurt vile - lotta sea lice,34,folk rock,34,15,NA,5,NA,16,NA,NA,8,39,NA,NA,NA,29,NA,NA,19,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,20.78,2.308641975,56.92592593,9,2
arca - arca,211,art pop,NA,NA,NA,NA,NA,NA,NA,16,39,NA,NA,1,NA,16,32,NA,NA,42,NA,22,21,NA,NA,NA,3,NA,NA,21.33,2.37037037,57.11111111,9,2
moses sumney - aromanticism,208,art pop,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,19,NA,31,NA,46,6,14,10,39,NA,NA,33,23.33,2.592592593,57.77777778,9,2
jane weaver - modern kosmology,8,dream pop,8,NA,22,NA,NA,5,8,NA,16,32,NA,NA,NA,NA,18,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.25,2.40625,58.48148148,8,3
j hus - common sense,110,hip hop,NA,NA,37,NA,6,NA,NA,NA,NA,NA,NA,17,NA,6,NA,NA,NA,11,NA,NA,NA,NA,NA,6,NA,NA,7,12.86,1.836734694,58.88888889,7,4
hurray for the riff raff - the navigator,165,americana,NA,NA,NA,NA,NA,8,29,NA,10,29,NA,NA,NA,NA,NA,NA,31,NA,NA,30,NA,9,19,NA,NA,NA,NA,20.63,2.578125,58.88888889,8,3
paramore - after laughter,68,new wave,NA,25,NA,NA,20,NA,13,45,NA,14,NA,NA,NA,33,NA,37,NA,NA,NA,NA,NA,50,8,NA,NA,NA,NA,27.22,3.024691358,59.07407407,9,1
richard dawson - peasant,168,avant-folk,NA,NA,NA,NA,NA,20,NA,NA,6,NA,NA,9,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,36,36,NA,NA,15.71,2.244897959,59.62962963,7,4
julien baker - turn out the lights,146,singer-songwriter,NA,NA,NA,47,NA,NA,NA,13,NA,NA,NA,NA,NA,30,NA,13,32,NA,NA,NA,18,NA,NA,31,NA,2,NA,23.25,2.90625,59.66666667,8,1
stormzy - gang signs & prayer,94,grime,NA,NA,11,NA,14,NA,NA,NA,NA,35,NA,37,NA,43,NA,NA,NA,18,NA,NA,NA,NA,NA,4,NA,NA,31,24.13,3.015625,59.92592593,8,1
kelly lee owens - kelly lee owens,152,tech house,NA,NA,NA,NA,25,NA,2,NA,NA,23,NA,NA,2,NA,NA,NA,NA,30,NA,NA,33,NA,NA,5,NA,NA,NA,17.14,2.448979592,60,7,3
sheer mag - need to fell your love,65,power pop,NA,22,NA,6,21,NA,NA,NA,NA,NA,NA,28,NA,11,NA,NA,29,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,18.71,2.673469388,60.40740741,7,1
jason isbell & the 400 unit - the nashville sound,64,americana,NA,21,NA,12,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,11,NA,NA,18,NA,7,NA,NA,NA,NA,NA,20.71,2.959183673,60.92592593,7,1
japanese breakfast - soft sounds from another planet,82,dream pop,NA,39,NA,37,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,17,15,NA,NA,50,NA,NA,NA,47,NA,23,44,32.89,3.654320988,60.96296296,9,0
lana del rey - lust for life,69,dream pop,NA,26,39,NA,8,NA,NA,NA,NA,NA,46,2,50,19,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,27.75,3.46875,61,8,2
priests - nothing feels natural,130,post-punk,NA,NA,NA,21,NA,NA,NA,NA,NA,42,NA,27,NA,NA,NA,3,NA,NA,NA,NA,25,44,18,NA,NA,NA,48,28.5,3.5625,61.22222222,8,1
fleet foxes - crack-up,113,folk,NA,NA,41,40,NA,NA,NA,30,41,45,NA,NA,NA,NA,NA,NA,8,NA,NA,16,39,NA,46,NA,NA,NA,NA,34,3.777777778,61.33333333,9,1
queens of the stone age - villains,21,alternative rock,21,8,9,NA,35,3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,22.43,3.204081633,61.37037037,7,3
aldous harding - party,1,folk,1,NA,NA,NA,NA,10,NA,NA,NA,18,NA,43,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,14.33,2.388888889,61.51851852,6,4
future - hndrxx,210,hip hop,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,4,NA,NA,12,NA,NA,NA,NA,NA,NA,27,NA,27,NA,NA,NA,5,15,2.5,61.66666667,6,2
(sandy) alex g - rocket,159,indie rock,NA,NA,NA,NA,40,NA,NA,26,NA,NA,NA,30,NA,20,NA,21,46,NA,NA,NA,48,NA,NA,NA,NA,16,NA,30.88,3.859375,61.92592593,8,0
drake - more life,70,hip hop,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,10,19,NA,7,NA,NA,25,NA,NA,NA,38,NA,49,NA,NA,NA,NA,25,3.571428571,62.03703704,7,2
laurel halo - dust,300,ambient pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,8,31,NA,46,NA,NA,NA,7,NA,6,17.17,2.861111111,62.14814815,6,4
the xx - i see you,96,indie pop,NA,NA,17,28,46,NA,NA,NA,50,36,NA,NA,NA,NA,NA,NA,37,NA,NA,7,40,NA,NA,NA,NA,NA,NA,32.63,4.078125,62.44444444,8,1
alvvays - antisocialites,122,indie pop,NA,NA,NA,7,17,NA,NA,NA,NA,44,NA,NA,16,NA,NA,31,NA,NA,NA,44,NA,32,NA,NA,NA,NA,NA,27.29,3.897959184,62.62962963,7,1
jay som - everybody works,72,indie rock,NA,29,NA,1,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,26,21,NA,NA,NA,46,NA,27.71,3.959183673,62.74074074,7,1
run the jewels - run the jewels 3,22,hip hop,22,NA,NA,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,NA,NA,NA,NA,32,NA,21.17,3.527777778,63.03703704,6,2
laura marling - semper femina,114,singer-songwriter,NA,NA,42,31,49,25,9,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.14,4.1632653060000004,63.11111111,7,1
syd - fin,250,alternative r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,31,NA,26,NA,NA,NA,NA,NA,41,36,NA,45,19,NA,NA,NA,29.86,4.265306122,63.2962963,7,0
mount kimbie - love what survives,241,future garage,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,34,31,NA,NA,NA,NA,16,NA,38,34,NA,NA,NA,NA,NA,NA,27.33,4.555555556,64.40740741,6,0
phoebe bridgers - strangers in the alps,214,indie folk,NA,NA,NA,NA,NA,NA,NA,22,NA,17,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,48,NA,21,4.2,65,5,1
playboi carti - playboi carti,301,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,35,NA,36,NA,9,NA,25,22.4,4.48,65.25925926,5,2
ryuichi sakamoto - async,409,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,NA,NA,NA,NA,NA,13,NA,1,9.25,2.3125,65.25925926,4,2
idles - brutalism,15,post-punk,15,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,14,NA,NA,NA,22.6,4.52,65.2962963,5,0
margo price - all american made,29,country,29,16,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,22.6,4.52,65.2962963,5,0
sleaford mods - english tapas,28,post-punk,28,NA,12,NA,NA,9,NA,NA,32,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,4.88,65.62962963,5,1
wolf alice - visions of a life,92,indie rock,NA,NA,3,NA,2,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,3.1875,65.77777778,4,3
open mike eagle - brick body kids still daydream,77,hip hop,NA,34,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,49,29,50,NA,NA,36,NA,39.71,5.673469388,65.85185185,7,0
sylvan esso - what now,129,indietronica,NA,NA,NA,19,NA,NA,36,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,32,NA,NA,NA,27.2,5.44,66.14814815,5,0
kevin morby - city music,119,singer-songwriter,NA,NA,48,20,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,28.2,5.64,66.33333333,5,1
spoon - hot thoughts,139,indie rock,NA,NA,NA,38,NA,NA,NA,9,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,20,NA,NA,NA,NA,28.2,5.64,66.33333333,5,1
feist - pleasure,187,indie rock,NA,NA,NA,NA,NA,NA,7,NA,NA,27,NA,NA,NA,NA,NA,40,26,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,28.4,5.68,66.37037037,5,1
kehlani - sweetsexysavage,288,alternative r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,13,46,NA,NA,21,28.6,5.72,66.40740741,5,0
actress - azd,280,microhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,32,NA,39,NA,30,28.8,5.76,66.44444444,5,0
loyle carner - yesterday's gone,150,hip hop,NA,NA,NA,NA,12,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,12,NA,NA,NA,17.5,4.375,66.48148148,4,0
zola jesus - okovi,191,art pop,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,43,NA,4,41,NA,NA,NA,NA,NA,NA,29.6,5.92,66.59259259,5,1
kesha - rainbow,53,pop rock,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,41,NA,NA,NA,18.5,4.625,66.62962963,4,2
charly bliss - guppy,325,indie rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,7,23,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,20,5,66.85185185,4,2
waxahatchee - out in the storm,60,indie rock,NA,14,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,20.25,5.0625,66.88888889,4,1
charli xcx - number 1 angel,251,electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,29,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,20.75,5.1875,66.96296296,4,1
khalid - american teen,54,alternative r&b,NA,6,NA,NA,NA,NA,NA,44,NA,NA,47,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,32.8,6.56,67.18518519,5,1
grizzly bear - painted ruins,44,indie rock,44,40,NA,NA,NA,NA,20,NA,20,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6.6,67.22222222,5,0
the weather station - the weather station,226,singer-songwriter,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,38,43,NA,NA,NA,NA,NA,40,40,NA,NA,NA,33,6.6,67.22222222,5,1
liam gallagher - as you were,32,britpop,32,37,15,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,5.875,67.37037037,4,1
brockhampton - saturation ii,219,hip hop,NA,NA,NA,NA,NA,NA,NA,34,NA,40,NA,45,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,33.8,6.76,67.37037037,5,0
ryan adams - prisoner,2,singer-songwriter,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,10.33,3.444444444,67.81481481,3,2
beck - colors,41,alternative dance,41,41,30,NA,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,7.28,67.85185185,5,0
cigarettes after sex - cigarettes after sex,6,dream pop,6,NA,21,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,27.25,6.8125,67.92592593,4,1
taylor swift - reputation,55,electropop,NA,7,NA,NA,31,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,28,7,68.03703704,4,1
algiers - the underside of power,246,post-punk,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,24,NA,NA,NA,NA,11,NA,NA,NA,35,NA,NA,NA,28.25,7.0625,68.07407407,4,0
oh sees - orc,36,psychedelic rock,36,NA,NA,22,NA,24,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.75,7.1875,68.14814815,4,0
visible cloaks - reassemblage,296,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,45,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,12,28.75,7.1875,68.14814815,4,0
gorillaz - humanz,93,electropop,NA,NA,5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,68.33333333,3,1
